                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95629,                0.97996,                0.97888,                0.52083,                0.40554,                0.41549,                0.25834,                 1.1294,                 1.1718,                 1.0786,             0.00023571,             0.00023571,             0.00023571
                      2,                0.89525,                0.69531,                0.95294,                0.47142,                 0.3668,                0.34369,                0.20609,                 1.2147,                 2.1173,                 1.2037,              0.0004698,              0.0004698,              0.0004698
                      3,                0.93456,                0.70637,                0.96753,                0.37341,                0.30236,                0.27171,                0.16009,                 1.3676,                 2.0201,                 1.3174,             0.00069997,             0.00069997,             0.00069997
                      4,                0.92262,                0.67194,                0.96604,                0.47941,                0.34616,                0.35412,                 0.2139,                 1.2529,                    1.2,                 1.1793,             0.00069633,             0.00069633,             0.00069633
                      5,                 0.8491,                0.59927,                0.93812,                 0.5855,                0.36498,                0.40758,                0.25346,                 1.2064,                 1.0657,                 1.1564,             0.00069044,             0.00069044,             0.00069044
                      6,                0.79658,                0.55847,                0.92098,                0.58543,                0.39277,                0.41838,                0.26264,                 1.1743,                 1.0249,                 1.1561,             0.00068455,             0.00068455,             0.00068455
                      7,                 0.7698,                0.53989,                  0.913,                  0.608,                0.38098,                0.42456,                0.26533,                 1.1618,                 1.0221,                 1.1358,             0.00067866,             0.00067866,             0.00067866
                      8,                0.73141,                0.50418,                0.89667,                0.59381,                0.41707,                0.45786,                0.28707,                 1.1314,                0.92838,                 1.1151,             0.00067277,             0.00067277,             0.00067277
                      9,                0.70856,                0.49429,                0.89167,                0.53924,                0.41948,                0.43383,                0.27328,                 1.1517,                0.98388,                 1.1329,             0.00066688,             0.00066688,             0.00066688
                     10,                0.69324,                0.47469,                0.88853,                0.63616,                0.40083,                0.45087,                0.27743,                 1.1617,                0.95612,                 1.1263,             0.00066099,             0.00066099,             0.00066099
                     11,                0.67538,                0.46742,                 0.8844,                 0.5922,                0.42127,                0.46707,                0.29533,                 1.0947,                0.93243,                 1.0932,             0.00065509,             0.00065509,             0.00065509
                     12,                0.65661,                0.45206,                0.87295,                0.60268,                0.42979,                0.47451,                0.30297,                 1.1083,                0.89565,                 1.0944,              0.0006492,              0.0006492,              0.0006492
                     13,                0.63267,                0.43653,                0.86973,                0.58882,                0.43003,                0.47781,                0.30529,                 1.1029,                0.94703,                 1.0946,             0.00064331,             0.00064331,             0.00064331
                     14,                0.63362,                0.43163,                0.86894,                0.62639,                0.43999,                 0.4798,                 0.3059,                 1.0968,                0.89061,                 1.0849,             0.00063742,             0.00063742,             0.00063742
                     15,                0.62184,                0.42619,                0.86597,                0.59117,                0.42611,                0.46159,                0.29344,                 1.1065,                0.92735,                 1.0977,             0.00063153,             0.00063153,             0.00063153
                     16,                0.61099,                  0.421,                0.86349,                0.60259,                0.44676,                0.48717,                0.31376,                 1.0911,                0.87583,                 1.0779,             0.00062564,             0.00062564,             0.00062564
                     17,                0.60092,                0.41534,                0.86186,                0.62844,                0.44781,                0.50099,                0.32232,                 1.0763,                0.86464,                 1.0797,             0.00061975,             0.00061975,             0.00061975
                     18,                0.58263,                0.39881,                0.85804,                0.68009,                0.43184,                0.49644,                0.31985,                 1.0657,                0.87844,                 1.0744,             0.00061386,             0.00061386,             0.00061386
                     19,                0.57918,                0.40027,                0.85925,                0.63961,                0.43806,                0.50071,                0.32127,                 1.0745,                0.86272,                 1.0752,             0.00060797,             0.00060797,             0.00060797
                     20,                0.58594,                0.39792,                0.85945,                0.59592,                0.45174,                0.49589,                0.32159,                 1.0644,                  0.884,                 1.0693,             0.00060208,             0.00060208,             0.00060208
                     21,                 0.5549,                0.38109,                0.85277,                0.60507,                0.43757,                0.47962,                0.31357,                 1.0573,                0.87204,                 1.0671,             0.00059619,             0.00059619,             0.00059619
                     22,                0.55518,                0.37857,                0.85221,                 0.6104,                0.43997,                0.49045,                0.32003,                 1.0588,                0.91675,                 1.0645,              0.0005903,              0.0005903,              0.0005903
